# Time-averaged data for fix myfix
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
10000 100
1 0.01 0 0
2 0.03 1.04412 0.00121212
3 0.05 0.384677 0.00242424
4 0.07 1.25107 0.010101
5 0.09 0.798783 0.0181818
6 0.11 0.803172 0.030303
7 0.13 0.882435 0.0488889
8 0.15 0.792875 0.0711111
9 0.17 0.909398 0.103838
10 0.19 0.71021 0.135758
11 0.21 0.964211 0.188687
12 0.23 0.810051 0.24202
13 0.25 1.01296 0.320808
14 0.27 0.864059 0.399192
15 0.29 0.857141 0.488889
16 0.31 0.946132 0.60202
17 0.33 0.787246 0.708687
18 0.35 0.949066 0.853333
19 0.37 0.851634 0.998384
20 0.39 0.883982 1.16566
21 0.41 0.877141 1.34909
22 0.43 0.855424 1.54586
23 0.45 0.880528 1.76768
24 0.47 0.848364 2.00081
25 0.49 0.909043 2.27232
26 0.51 0.894097 2.56162
27 0.53 0.942371 2.89091
28 0.55 0.939512 3.24444
29 0.57 0.938726 3.62384
30 0.59 0.907893 4.01697
31 0.61 0.916554 4.44121
32 0.63 0.917393 4.89414
33 0.65 0.926389 5.38101
34 0.67 0.914603 5.89172
35 0.69 0.927168 6.44081
36 0.71 0.918199 7.01657
37 0.73 0.994142 7.67556
38 0.75 0.942409 8.33495
39 0.77 0.962572 9.04485
40 0.79 0.935273 9.77091
41 0.81 0.924314 10.5253
42 0.83 0.951034 11.3402
43 0.85 1.01651 12.2537
44 0.87 0.950998 13.1491
45 0.89 0.993625 14.1281
46 0.91 0.940232 15.0966
47 0.93 0.979097 16.1499
48 0.95 1.02217 17.2974
49 0.97 0.978727 18.4428
50 0.99 0.962452 19.6162
51 1.01 1.00432 20.8905
52 1.03 0.98315 22.1879
53 1.05 1.02501 23.5935
54 1.07 1.01032 25.0323
55 1.09 1.00503 26.5176
56 1.11 1.01923 28.0796
57 1.13 0.9939 29.6582
58 1.15 1.01219 31.3232
59 1.17 1.01704 33.0549
60 1.19 0.992774 34.8036
61 1.21 1.02412 36.6687
62 1.23 1.0029 38.556
63 1.25 1.01535 40.5293
64 1.27 1.00013 42.5358
65 1.29 0.995324 44.596
66 1.31 1.007 46.7455
67 1.33 1.00614 48.9592
68 1.35 1.02966 51.2933
69 1.37 1.02214 53.6796
70 1.39 0.975961 56.0251
71 1.41 1.01857 58.5438
72 1.43 1.00171 61.0917
73 1.45 1.01598 63.7487
74 1.47 1.00281 66.444
75 1.49 0.994502 69.1903
76 1.51 0.996683 72.017
77 1.53 0.992721 74.9075
78 1.55 1.01892 77.9523
79 1.57 1.01988 81.0792
80 1.59 0.99695 84.2141
81 1.61 1.00717 87.4614
82 1.63 0.995446 90.7511
83 1.65 1.02324 94.2162
84 1.67 1.01449 97.7354
85 1.69 1.00142 101.293
86 1.71 0.989246 104.891
87 1.73 1.00992 108.651
88 1.75 0.984847 112.402
89 1.77 0.986356 116.246
90 1.79 1.00195 120.239
91 1.81 0.992918 124.285
92 1.83 1.00363 128.465
93 1.85 0.997617 132.712
94 1.87 1.00816 137.097
95 1.89 1.01413 141.603
96 1.91 0.991487 146.102
97 1.93 0.999997 150.735
98 1.95 0.973097 155.338
99 1.97 0.981396 160.075
100 1.99 1.00278 165.015
