# Time-averaged data for fix myfix2
# TimeStep Number-of-rows
# Row c_myRDF2[1] c_myRDF2[2] c_myRDF2[3]
10000 40
1 0.05 1.66608 0.00383838
2 0.15 1.07732 0.0212121
3 0.25 0.973806 0.0638384
4 0.35 0.971685 0.146667
5 0.45 0.905637 0.273939
6 0.55 0.870141 0.456364
7 0.65 0.839602 0.70202
8 0.75 0.882075 1.04545
9 0.85 0.901537 1.49616
10 0.95 0.92607 2.07434
11 1.05 0.970139 2.81414
12 1.15 0.974515 3.70545
13 1.25 1.01057 4.79737
14 1.35 1.01251 6.07333
15 1.45 1.02016 7.55636
16 1.55 1.00824 9.23111
17 1.65 1.0323 11.1741
18 1.75 1.0077 13.3077
19 1.85 1.00291 15.6806
20 1.95 1.00638 18.3261
21 2.05 0.998232 21.2261
22 2.15 0.990307 24.3905
23 2.25 0.999385 27.8879
24 2.35 0.996275 31.6911
25 2.45 0.995834 35.823
26 2.55 0.999049 40.3135
27 2.65 1.00565 45.1952
28 2.75 0.99843 50.4143
29 2.85 1.00714 56.0689
30 2.95 0.997219 62.0675
31 3.05 0.997125 68.479
32 3.15 1.00899 75.3992
33 3.25 1.00699 82.7511
34 3.35 0.998172 90.4939
35 3.45 0.994509 98.6758
36 3.55 1.00034 107.389
37 3.65 0.98998 116.506
38 3.75 0.99384 126.166
39 3.85 0.993917 136.348
40 3.95 0.996777 147.098
