# Time-averaged data for fix myfix
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
10000 40
1 0.05 0 0
2 0.15 0.905232 0.00727273
3 0.25 2.00104 0.0509091
4 0.35 1.37008 0.109091
5 0.45 1.55819 0.218182
6 0.55 1.2534 0.349091
7 0.65 1.04779 0.501818
8 0.75 1.4623 0.785455
9 0.85 1.02204 1.04
10 0.95 1.07559 1.37455
11 1.05 1.12949 1.80364
12 1.15 1.26094 2.37818
13 1.25 1.09439 2.96727
14 1.35 1.06576 3.63636
15 1.45 1.12473 4.45091
16 1.55 0.949176 5.23636
17 1.65 1.14788 6.31273
18 1.75 1.05496 7.42545
19 1.85 0.913165 8.50182
20 1.95 0.999643 9.81091
21 2.05 0.90954 11.1273
22 2.15 0.931991 12.6109
23 2.25 1.02204 14.3927
24 2.35 1.00575 16.3055
25 2.45 1.00626 18.3855
26 2.55 1.02308 20.6764
27 2.65 1.00448 23.1055
28 2.75 0.938346 25.5491
29 2.85 0.928263 28.1455
30 2.95 1.04599 31.28
31 3.05 1.02848 34.5745
32 3.15 0.98338 37.9345
33 3.25 0.937797 41.3455
34 3.35 0.914642 44.88
35 3.45 0.961762 48.8218
36 3.55 0.88991 52.6836
37 3.65 1.02096 57.3673
38 3.75 1.02131 62.3127
39 3.85 0.99317 67.3818
40 3.95 1.06806 73.12
