# Time-averaged data for fix ave_time
# TimeStep v_kinetic_energy v_potential_energy
5050 1.52059 14.5995
5060 1.52018 14.5995
5070 1.52058 14.5995
5080 1.52132 14.5995
5090 1.52227 14.5995
5100 1.52164 14.5995
5110 1.52176 14.5995
5120 1.52177 14.5995
5130 1.5224 14.5995
5140 1.52331 14.5995
5150 1.52342 14.5995
5160 1.52399 14.5995
5170 1.52439 14.5995
5180 1.52443 14.5995
5190 1.524 14.5995
5200 1.52452 14.5995
5210 1.52533 14.5995
5220 1.52527 14.5995
5230 1.52409 14.5995
5240 1.52435 14.5995
5250 1.52417 14.5995
5260 1.52479 14.5995
5270 1.52572 14.5995
5280 1.52473 14.5995
5290 1.5253 14.5995
5300 1.52467 14.5995
5310 1.52537 14.5995
5320 1.52513 14.5995
5330 1.52479 14.5995
5340 1.52443 14.5995
5350 1.52312 14.5995
5360 1.52267 14.5995
5370 1.52319 14.5995
5380 1.52241 14.5995
5390 1.52216 14.5995
5400 1.52266 14.5995
5410 1.52144 14.5995
5420 1.5219 14.5995
5430 1.52273 14.5995
5440 1.52263 14.5995
5450 1.52299 14.5995
5460 1.5239 14.5995
5470 1.52283 14.5995
5480 1.52256 14.5995
5490 1.52289 14.5995
5500 1.52267 14.5995
5510 1.52263 14.5995
5520 1.52266 14.5995
5530 1.52105 14.5995
5540 1.52098 14.5995
5550 1.52177 14.5995
5560 1.52148 14.5995
5570 1.52122 14.5995
5580 1.52038 14.5995
5590 1.52041 14.5995
5600 1.51943 14.5995
5610 1.51848 14.5995
5620 1.51896 14.5995
5630 1.51822 14.5995
5640 1.51835 14.5995
5650 1.5192 14.5995
5660 1.52017 14.5995
5670 1.51959 14.5995
5680 1.519 14.5995
5690 1.51869 14.5995
5700 1.51759 14.5995
5710 1.51777 14.5995
5720 1.51743 14.5995
5730 1.51803 14.5995
5740 1.51616 14.5995
5750 1.51572 14.5995
5760 1.51597 14.5995
5770 1.51679 14.5995
5780 1.51844 14.5995
5790 1.51867 14.5995
5800 1.5164 14.5995
5810 1.51746 14.5995
5820 1.51695 14.5995
5830 1.51626 14.5995
5840 1.51654 14.5995
5850 1.51601 14.5995
5860 1.51687 14.5995
5870 1.51613 14.5995
5880 1.5156 14.5995
5890 1.51662 14.5995
5900 1.51573 14.5995
5910 1.51491 14.5995
5920 1.51605 14.5995
5930 1.51569 14.5995
5940 1.51492 14.5995
5950 1.51567 14.5995
5960 1.51595 14.5995
5970 1.51569 14.5995
5980 1.51467 14.5995
5990 1.51429 14.5995
6000 1.51301 14.5995
6010 1.51192 14.5995
6020 1.5125 14.5995
6030 1.51172 14.5995
6040 1.51239 14.5995
6050 1.51107 14.5995
6060 1.51075 14.5995
6070 1.51089 14.5995
6080 1.5125 14.5995
6090 1.51254 14.5995
6100 1.5123 14.5995
6110 1.51212 14.5995
6120 1.51225 14.5995
6130 1.51196 14.5995
6140 1.51267 14.5995
6150 1.51284 14.5995
6160 1.51326 14.5995
6170 1.5138 14.5995
6180 1.51444 14.5995
6190 1.51489 14.5995
6200 1.51408 14.5995
6210 1.51408 14.5995
6220 1.5148 14.5995
6230 1.51522 14.5995
6240 1.51496 14.5995
6250 1.51599 14.5995
6260 1.51515 14.5995
6270 1.51455 14.5995
6280 1.51429 14.5995
6290 1.51553 14.5995
6300 1.51444 14.5995
6310 1.5143 14.5995
6320 1.51408 14.5995
6330 1.51422 14.5995
6340 1.51463 14.5995
6350 1.51462 14.5995
6360 1.51497 14.5995
6370 1.51564 14.5995
6380 1.5155 14.5995
6390 1.51481 14.5995
6400 1.51426 14.5995
6410 1.51417 14.5995
6420 1.51483 14.5995
6430 1.51555 14.5995
6440 1.51582 14.5995
6450 1.51528 14.5995
6460 1.51499 14.5995
6470 1.51454 14.5995
6480 1.51438 14.5995
6490 1.51433 14.5995
6500 1.5139 14.5995
6510 1.51332 14.5995
6520 1.51179 14.5995
6530 1.51156 14.5995
6540 1.51032 14.5995
6550 1.511 14.5995
6560 1.51176 14.5995
6570 1.51097 14.5995
6580 1.51083 14.5995
6590 1.51032 14.5995
6600 1.51022 14.5995
6610 1.50966 14.5995
6620 1.50936 14.5995
6630 1.50899 14.5995
6640 1.50782 14.5995
6650 1.50874 14.5995
6660 1.51017 14.5995
6670 1.50962 14.5995
6680 1.51086 14.5995
6690 1.51107 14.5995
6700 1.51126 14.5995
6710 1.51182 14.5995
6720 1.51136 14.5995
6730 1.51063 14.5995
6740 1.51033 14.5995
6750 1.51041 14.5995
6760 1.50978 14.5995
6770 1.5111 14.5995
6780 1.51125 14.5995
6790 1.51199 14.5995
6800 1.51215 14.5995
6810 1.51243 14.5995
6820 1.51294 14.5995
6830 1.51319 14.5995
6840 1.51211 14.5995
6850 1.51149 14.5995
6860 1.51236 14.5996
6870 1.5115 14.5996
6880 1.51046 14.5996
6890 1.51036 14.5996
6900 1.51073 14.5996
6910 1.50995 14.5996
