# Time-averaged data for fix myfix
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
10000 40
1 0.05 0.877064 0.0181818
2 0.15 0.935535 0.153939
3 0.25 0.877064 0.499394
4 0.35 0.88918 1.18141
5 0.45 0.883774 2.29899
6 0.55 0.899981 3.99677
7 0.65 0.937683 6.46545
8 0.75 0.93738 9.74949
9 0.85 0.970653 14.116
10 0.95 0.983362 19.6404
11 1.05 0.990532 26.4372
12 1.15 1.00191 34.6828
13 1.25 1.01104 44.5127
14 1.35 1.01481 56.0202
15 1.45 1.00627 69.183
16 1.55 1.01258 84.3176
17 1.65 1.005 101.339
18 1.75 1.00117 120.413
19 1.85 0.999927 141.701
20 1.95 0.996056 165.261
21 2.05 0.997097 191.326
22 2.15 0.998713 220.042
23 2.25 0.997316 251.447
24 2.35 0.992053 285.524
25 2.45 1.00481 323.039
26 2.55 0.99972 363.472
27 2.65 1.004 407.326
28 2.75 0.999108 454.321
29 2.85 1.003 504.992
30 2.95 1.00405 559.339
31 3.05 0.995577 616.941
32 3.15 1.00063 678.694
33 3.25 1.00316 744.596
34 3.35 0.99668 814.164
35 3.45 0.998116 888.052
36 3.55 1.00395 966.743
37 3.65 0.999896 1049.59
38 3.75 1.00175 1137.21
39 3.85 0.996929 1229.11
40 3.95 0.999827 1326.13
