CASE 1: g11,,,,,,CASE 2: g12,,,,,,CASE 3: g22,,,,,
"p = 5.5, x =0.1",,"p = 5.5, x =0.95",,"p = 7.0, x =0.95",,"p = 5.5, x =0.1",,"p = 5.5, x =0.95",,"p = 7.0, x =0.95",,"p = 5.5, x =0.1",,"p = 5.5, x =0.95",,"p = 7.0, x =0.95",
r,g(r),r,g(r),r,g(r),r,g(r),r,g(r),r,g(r),r,g(r),r,g(r),r,g(r)
0.016013067,0.84345186,0.013182202,1.2032809,0.010079938,1.400151,0.016190104,0.97526133,0.007730154,1.2556536,0.012824546,1.5698541,0.029471247,1.3898143,0.022250826,1.627486,6.84E-04,2.2795575
0.05374459,0.8434471,0.04062331,1.2032775,0.037514772,1.3963797,0.026499338,0.9752691,0.04897418,1.2544328,0.047217004,1.5648729,0.05688723,1.3898476,0.053112604,1.6153349,6.84E-04,2.2795575
0.084622115,0.84721106,0.10579281,1.2013854,0.061524175,1.3954347,0.036808573,0.9752768,0.10749237,1.2369518,0.07135691,1.5498697,0.09117601,1.3777007,0.08054738,1.6031796,0.0315406,2.2704537
0.12578379,0.8472059,0.13666406,1.2013814,0.09582086,1.3926045,0.08492542,0.9740612,0.14195567,1.2194529,0.0955039,1.5336146,0.13230938,1.3716565,0.13543104,1.5697274,0.07614795,2.2339418
0.1943897,0.8490812,0.1675259,1.1957259,0.123243146,1.3812976,0.11587438,0.97032905,0.18676364,1.1957027,0.119636714,1.5198632,0.18375194,1.3473418,0.16976678,1.5271087,0.10362501,2.1943617
0.23213534,0.8575541,0.2052433,1.1872435,0.14723529,1.3699911,0.1434011,0.9640908,0.1971579,1.1806891,0.14035438,1.5023539,0.20777382,1.3260407,0.19039454,1.4844732,0.13453376,2.151739
0.2904571,0.8631985,0.26353842,1.1768746,0.19866541,1.3567971,0.20532027,0.9528713,0.23509306,1.1569338,0.15763563,1.484842,0.24550368,1.3047564,0.22819017,1.4205283,0.1586167,2.0908246
0.34535345,0.8716693,0.31840807,1.169332,0.22264814,1.3398389,0.2500999,0.9341283,0.26268354,1.1394296,0.18181096,1.4635798,0.28325704,1.2682362,0.2659952,1.3504891,0.19300413,2.0146868
0.39339736,0.8848507,0.35269693,1.161792,0.26721483,1.3247619,0.28795004,0.92539424,0.27999315,1.1169106,0.19911347,1.4423126,0.33470428,1.2408742,0.29688987,1.3170078,0.22053756,1.9385407
0.4620174,0.89520365,0.39727145,1.1514249,0.29119602,1.3068616,0.33268714,0.9141618,0.31449896,1.091901,0.2336689,1.4085405,0.38959733,1.2013277,0.3312679,1.2469643,0.2411794,1.8867637
0.510055,0.9046172,0.45213172,1.1382306,0.32204217,1.2917864,0.37742427,0.9029294,0.34901187,1.0656395,0.25444326,1.3810169,0.44104928,1.1709186,0.35875905,1.1982429,0.25496256,1.8380255
0.5546609,0.9130892,0.49671412,1.1325732,0.35288516,1.2748272,0.41184506,0.892941,0.37317303,1.0468808,0.28212583,1.3472396,0.49250123,1.1405094,0.3862596,1.1434271,0.27905962,1.7679696
0.59583986,0.92344564,0.54129493,1.1259738,0.3802949,1.2559845,0.47033492,0.8804672,0.44214925,1.0031204,0.2994992,1.3134546,0.5302358,1.1161779,0.42406464,1.0733879,0.30315664,1.6979136
0.6473061,0.9319168,0.59272975,1.1156058,0.4214252,1.2371402,0.51849425,0.8717409,0.4698106,0.97309846,0.3202948,1.2821758,0.56797975,1.085752,0.46876124,0.9789796,0.32381257,1.6369951
0.7125007,0.9450961,0.6373137,1.1108905,0.4556858,1.2126449,0.5735406,0.8605162,0.50773865,0.9505949,0.33420342,1.2533953,0.60228264,1.0644635,0.51337796,0.93637335,0.35132724,1.5730377
0.77425885,0.9545079,0.6956151,1.1042894,0.5036701,1.1900319,0.6457053,0.8605704,0.54569507,0.92308426,0.3377461,1.2346213,0.6400078,1.0462264,0.5580276,0.8724369,0.37544304,1.4907931
0.82915676,0.9639206,0.6956151,1.1042894,0.5379448,1.1740142,0.7006737,0.86311525,0.5939253,0.9018402,0.37232986,1.195842,0.69829494,1.0280143,0.60950303,0.8267918,0.39957297,1.3994069
0.8977768,0.97427356,0.77105933,1.0929765,0.56535923,1.1579975,0.7590502,0.8706698,0.6455848,0.88185054,0.40001956,1.160813,0.7497093,1.0219827,0.6678325,0.7811551,0.43744376,1.2867072
0.98697925,0.98556584,0.83623827,1.0967361,0.61677366,1.135384,0.7967869,0.88196415,0.6868926,0.8693638,0.4174,1.1257762,0.8011096,1.0250925,0.72268796,0.7659861,0.4546915,1.2135957
1.0590262,0.99403447,0.9357044,1.0920138,0.6750515,1.1146536,0.86200786,0.8945309,0.7488118,0.8581443,0.44851902,1.0920016,0.8559181,1.0403953,0.7912373,0.75997525,0.47880733,1.1313511
1.1207798,1.0006204,1.0145992,1.0929458,0.6750515,1.1146536,0.93066525,0.90710026,0.824427,0.8556975,0.4624418,1.0607175,0.91070306,1.0709338,0.8494681,0.7783293,0.4960128,1.0856643
1.2271187,1.003433,1.0694814,1.0929389,0.7367658,1.0976906,0.9820839,0.92967093,0.89303476,0.8770293,0.48322323,1.0319421,0.9620611,1.1014683,0.9042155,0.8332454,0.5338554,0.99124765
1.3197341,1.0043633,1.1517937,1.0863348,0.7573403,1.0939201,1.0404108,0.9459879,0.9444959,0.8920893,0.50399756,1.0044186,1.0134567,1.1076254,0.96580285,0.8973114,0.56483465,0.902917
