# Time-averaged data for fix ave_time
# TimeStep v_kinetic_energy v_potential_energy
5050 1.46434 14.604
5060 1.50119 14.6023
5070 1.48702 14.6015
5080 1.52693 14.602
5090 1.48443 14.6017
5100 1.51793 14.602
5110 1.50795 14.6018
5120 1.52045 14.6009
5130 1.48786 14.5999
5140 1.52431 14.6005
5150 1.50779 14.6004
5160 1.51722 14.602
5170 1.5131 14.6019
5180 1.50988 14.6023
5190 1.4951 14.6024
5200 1.50233 14.6013
5210 1.50139 14.6018
5220 1.49526 14.6027
5230 1.49282 14.6033
5240 1.46633 14.6035
5250 1.52514 14.6029
5260 1.50301 14.6026
5270 1.51068 14.6035
5280 1.51635 14.6028
5290 1.51417 14.6029
5300 1.51229 14.6042
5310 1.51738 14.6045
5320 1.49469 14.6043
5330 1.49145 14.6051
5340 1.5018 14.6045
5350 1.53351 14.6024
5360 1.51723 14.6031
5370 1.50703 14.603
5380 1.47704 14.604
5390 1.49861 14.6035
5400 1.52483 14.6036
5410 1.50108 14.604
5420 1.50356 14.6048
5430 1.49986 14.6025
5440 1.5126 14.6027
5450 1.48158 14.6029
5460 1.48584 14.6027
5470 1.49745 14.6018
5480 1.48809 14.6013
5490 1.50886 14.6028
5500 1.49025 14.6036
5510 1.51451 14.6047
5520 1.49671 14.6049
5530 1.5103 14.6045
5540 1.51425 14.6034
5550 1.48613 14.6026
5560 1.50805 14.6023
5570 1.50563 14.6026
5580 1.50376 14.604
5590 1.5041 14.6032
5600 1.49663 14.6034
5610 1.49573 14.6039
5620 1.48873 14.6044
5630 1.49702 14.605
5640 1.53316 14.6058
5650 1.49514 14.6063
5660 1.52341 14.6056
5670 1.48617 14.6054
5680 1.5249 14.6046
5690 1.48388 14.6067
5700 1.49766 14.609
5710 1.50886 14.6088
5720 1.50116 14.6088
5730 1.50502 14.6095
5740 1.4989 14.6098
5750 1.49785 14.6102
5760 1.51262 14.611
5770 1.49094 14.6094
5780 1.51152 14.6089
5790 1.49784 14.6102
5800 1.50693 14.6112
5810 1.48094 14.6124
5820 1.5211 14.6124
5830 1.51397 14.6121
5840 1.51125 14.6122
5850 1.49847 14.6103
5860 1.49541 14.6088
5870 1.5058 14.6089
5880 1.50845 14.6088
5890 1.48019 14.6089
5900 1.50324 14.6094
5910 1.49791 14.6099
5920 1.50058 14.6088
5930 1.50573 14.6082
5940 1.49356 14.6074
5950 1.51963 14.608
5960 1.48959 14.6088
5970 1.51856 14.6084
5980 1.52635 14.6089
5990 1.50483 14.6099
6000 1.48494 14.6089
6010 1.51663 14.6085
6020 1.49989 14.6088
6030 1.50063 14.6079
6040 1.48765 14.6094
6050 1.49733 14.6095
6060 1.51132 14.6103
6070 1.52991 14.6107
6080 1.48526 14.6103
6090 1.50328 14.6099
6100 1.50032 14.6092
6110 1.50325 14.6102
6120 1.46689 14.612
6130 1.51605 14.6121
6140 1.49026 14.612
6150 1.4867 14.6118
6160 1.49564 14.6125
6170 1.53739 14.6117
6180 1.47753 14.6113
6190 1.51039 14.6111
6200 1.49824 14.6109
6210 1.49248 14.6116
6220 1.4949 14.6104
6230 1.49663 14.6103
6240 1.5196 14.6102
6250 1.51561 14.6099
6260 1.50245 14.6097
6270 1.5011 14.6089
6280 1.48765 14.6083
6290 1.52149 14.6082
6300 1.48214 14.6076
6310 1.51234 14.6074
6320 1.4729 14.6079
6330 1.49905 14.6079
6340 1.51463 14.6076
6350 1.51065 14.6075
6360 1.47298 14.6065
6370 1.48518 14.6078
6380 1.4909 14.606
6390 1.49243 14.6073
6400 1.51019 14.6071
6410 1.48663 14.6077
6420 1.47859 14.6052
6430 1.50795 14.6045
6440 1.52545 14.6046
6450 1.49943 14.6043
6460 1.49194 14.6045
6470 1.51535 14.6047
6480 1.48963 14.6051
6490 1.52122 14.6052
6500 1.47799 14.6036
6510 1.50843 14.6049
6520 1.50113 14.6048
6530 1.5075 14.6068
6540 1.51621 14.606
6550 1.50357 14.6061
6560 1.51059 14.6058
6570 1.52265 14.6056
6580 1.4864 14.6067
6590 1.49319 14.6071
6600 1.50789 14.6084
6610 1.4969 14.6076
6620 1.51202 14.6072
6630 1.50031 14.6071
6640 1.51308 14.6065
6650 1.52409 14.6065
6660 1.49529 14.6067
6670 1.5214 14.6064
6680 1.50913 14.6065
6690 1.50454 14.6063
6700 1.51755 14.6059
6710 1.49932 14.6064
6720 1.48822 14.6072
6730 1.51668 14.6052
6740 1.5085 14.6042
6750 1.49923 14.604
6760 1.50061 14.6041
6770 1.48305 14.604
6780 1.48042 14.6038
6790 1.47283 14.6025
6800 1.50023 14.6027
6810 1.52532 14.6016
6820 1.49794 14.6006
6830 1.50049 14.601
6840 1.50543 14.6004
6850 1.53058 14.6018
6860 1.47622 14.6025
6870 1.48831 14.6025
6880 1.50844 14.6031
6890 1.47506 14.603
6900 1.50755 14.603
6910 1.51411 14.6032
6920 1.5102 14.6021
6930 1.50996 14.6022
6940 1.51317 14.6024
6950 1.51414 14.6027
6960 1.49509 14.6026
6970 1.52598 14.6018
6980 1.47561 14.6014
6990 1.51566 14.6011
7000 1.50522 14.6014
7010 1.50933 14.6005
7020 1.48572 14.5995
7030 1.50733 14.6007
7040 1.49039 14.6006
7050 1.47301 14.5992
7060 1.49429 14.5992
7070 1.526 14.6
7080 1.4902 14.6008
7090 1.52991 14.6012
7100 1.49426 14.6018
7110 1.50688 14.6016
7120 1.4781 14.602
7130 1.51521 14.6019
7140 1.5023 14.6031
7150 1.498 14.6037
7160 1.49982 14.6034
7170 1.50174 14.6039
7180 1.48684 14.6041
7190 1.51343 14.6029
7200 1.50334 14.6028
7210 1.5187 14.6039
7220 1.48172 14.604
7230 1.51291 14.6034
7240 1.50912 14.6034
7250 1.52354 14.6026
7260 1.48553 14.6029
7270 1.50761 14.6026
7280 1.49798 14.6022
7290 1.52623 14.6009
7300 1.5163 14.6008
7310 1.50794 14.5994
7320 1.47663 14.5997
7330 1.47139 14.5988
7340 1.49191 14.5993
7350 1.4906 14.5979
7360 1.48213 14.5995
7370 1.50106 14.5984
7380 1.49886 14.598
7390 1.52775 14.5982
7400 1.48419 14.5995
7410 1.50986 14.6017
7420 1.49857 14.6019
7430 1.49376 14.6023
7440 1.50939 14.601
7450 1.51457 14.6004
7460 1.47117 14.601
7470 1.49478 14.5998
7480 1.48801 14.5995
7490 1.49921 14.5989
7500 1.50721 14.5988
7510 1.53722 14.5987
7520 1.51493 14.5984
7530 1.50015 14.5986
7540 1.50286 14.5996
7550 1.49084 14.6015
7560 1.51749 14.6018
7570 1.51147 14.6005
7580 1.48888 14.6002
7590 1.50996 14.6015
7600 1.48108 14.6029
7610 1.50931 14.603
7620 1.52337 14.6057
7630 1.51912 14.6063
7640 1.51813 14.6049
7650 1.50815 14.6031
7660 1.49699 14.6043
7670 1.50323 14.6043
7680 1.50021 14.6032
7690 1.50221 14.602
7700 1.52261 14.6007
7710 1.48054 14.6011
7720 1.50659 14.601
7730 1.49397 14.6006
7740 1.48478 14.5995
7750 1.48662 14.5981
7760 1.47403 14.5982
7770 1.48458 14.599
7780 1.50041 14.6
7790 1.50395 14.5997
7800 1.5135 14.6004
7810 1.501 14.6002
7820 1.48527 14.6007
7830 1.51382 14.6021
7840 1.46993 14.6021
7850 1.51122 14.6016
7860 1.47675 14.6026
7870 1.49888 14.6037
7880 1.50266 14.6038
7890 1.50438 14.6045
7900 1.51476 14.6051
7910 1.4874 14.6052
7920 1.4894 14.6053
7930 1.49894 14.6066
7940 1.49655 14.6065
7950 1.48701 14.6059
7960 1.54738 14.6068
7970 1.49384 14.6056
7980 1.49845 14.6048
7990 1.50508 14.6053
8000 1.48457 14.6049
8010 1.48682 14.6044
8020 1.49428 14.6049
8030 1.4902 14.6033
8040 1.47427 14.6018
8050 1.48767 14.6018
8060 1.50713 14.6008
8070 1.48184 14.6013
8080 1.47712 14.6017
8090 1.51546 14.6005
8100 1.50878 14.6008
8110 1.50109 14.6011
8120 1.47331 14.5995
8130 1.52387 14.6001
8140 1.50517 14.6
8150 1.51862 14.6007
8160 1.51108 14.6009
8170 1.51035 14.6009
8180 1.49553 14.6008
8190 1.51084 14.6004
8200 1.51976 14.5991
8210 1.50196 14.5994
8220 1.48522 14.5991
8230 1.49426 14.5996
8240 1.51067 14.5985
8250 1.48579 14.5987
8260 1.50511 14.5984
8270 1.49951 14.5979
8280 1.48429 14.5989
8290 1.4779 14.6003
8300 1.49687 14.6013
8310 1.50592 14.602
8320 1.50827 14.6016
8330 1.51066 14.6013
8340 1.49594 14.6019
8350 1.49655 14.6022
8360 1.49144 14.6018
8370 1.48955 14.6022
8380 1.51093 14.6033
8390 1.51439 14.604
8400 1.49189 14.6051
8410 1.50334 14.6051
8420 1.49119 14.6049
8430 1.50906 14.604
8440 1.50493 14.6047
8450 1.48906 14.6041
8460 1.48723 14.6042
8470 1.50448 14.6036
8480 1.50659 14.6046
8490 1.50868 14.6044
8500 1.48481 14.6054
8510 1.49334 14.6054
8520 1.49395 14.6061
8530 1.48236 14.6059
8540 1.49855 14.6053
8550 1.51421 14.6053
8560 1.49157 14.6039
8570 1.48647 14.6046
8580 1.48456 14.6048
8590 1.49894 14.6054
8600 1.49264 14.6047
8610 1.49007 14.6053
8620 1.47791 14.6061
8630 1.50855 14.6067
8640 1.51376 14.6079
8650 1.51121 14.6091
8660 1.4768 14.608
8670 1.48527 14.6075
8680 1.50282 14.6087
8690 1.51036 14.6087
8700 1.52028 14.6097
8710 1.51596 14.6106
8720 1.52987 14.6112
8730 1.51716 14.6104
8740 1.49381 14.6101
8750 1.48022 14.6102
8760 1.49469 14.6096
8770 1.50418 14.6099
8780 1.51725 14.6086
8790 1.4941 14.6085
8800 1.5143 14.607
8810 1.50677 14.609
8820 1.49012 14.609
8830 1.51684 14.6084
8840 1.47183 14.6091
8850 1.49599 14.6084
8860 1.51354 14.6075
8870 1.48508 14.6075
8880 1.51356 14.6072
8890 1.50072 14.6065
8900 1.51539 14.6065
8910 1.48613 14.6052
8920 1.49501 14.6053
8930 1.52829 14.6047
8940 1.4688 14.6052
8950 1.48513 14.6066
8960 1.50214 14.6056
8970 1.51192 14.6042
8980 1.52233 14.602
8990 1.48693 14.6019
9000 1.52574 14.6007
9010 1.48667 14.6017
9020 1.51407 14.6018
9030 1.50882 14.6025
9040 1.4867 14.6036
9050 1.536 14.604
9060 1.48905 14.6044
9070 1.50016 14.6045
9080 1.5221 14.6045
9090 1.51326 14.6053
9100 1.51554 14.6061
9110 1.5023 14.6044
9120 1.52422 14.6055
9130 1.51695 14.605
9140 1.52203 14.6044
9150 1.50284 14.6044
9160 1.49243 14.6046
9170 1.51187 14.6045
9180 1.50924 14.6042
9190 1.48064 14.6044
9200 1.50819 14.6041
9210 1.49483 14.6055
9220 1.4775 14.6053
9230 1.51438 14.6046
9240 1.49104 14.6052
9250 1.5019 14.6063
9260 1.49152 14.6065
9270 1.49885 14.6074
9280 1.50409 14.6076
9290 1.5053 14.6094
9300 1.49561 14.6103
9310 1.5052 14.6111
9320 1.50466 14.6106
9330 1.50046 14.6103
9340 1.52737 14.6102
9350 1.49294 14.6097
9360 1.50487 14.6108
9370 1.50257 14.6083
9380 1.48111 14.6079
9390 1.48969 14.6046
9400 1.49505 14.6042
9410 1.48901 14.6063
9420 1.50519 14.6059
9430 1.49238 14.6052
9440 1.49401 14.6051
9450 1.49251 14.605
9460 1.48185 14.6057
9470 1.50061 14.6063
9480 1.52207 14.6064
9490 1.48909 14.6063
9500 1.48544 14.6068
9510 1.4907 14.6081
9520 1.46035 14.61
9530 1.50452 14.6096
9540 1.50264 14.6081
9550 1.50126 14.6075
9560 1.49057 14.609
9570 1.52775 14.6089
9580 1.4935 14.6086
9590 1.4956 14.6074
9600 1.50737 14.6067
9610 1.49056 14.6074
9620 1.48453 14.6073
9630 1.50709 14.6062
9640 1.49296 14.6042
9650 1.51779 14.6043
9660 1.48189 14.6062
9670 1.49049 14.6064
9680 1.4913 14.6071
9690 1.49949 14.6076
9700 1.51397 14.608
9710 1.50676 14.6081
9720 1.474 14.6095
9730 1.48969 14.6102
9740 1.49312 14.61
9750 1.49333 14.6093
9760 1.50221 14.6085
9770 1.50573 14.6091
9780 1.47938 14.6086
9790 1.49603 14.6082
9800 1.51666 14.6082
9810 1.51948 14.6091
9820 1.48975 14.6091
9830 1.48825 14.6084
9840 1.49215 14.6069
9850 1.50228 14.6073
9860 1.47581 14.6069
9870 1.5016 14.6067
9880 1.49956 14.6061
9890 1.50906 14.6066
9900 1.50035 14.6052
9910 1.50958 14.6046
9920 1.51968 14.6051
9930 1.49041 14.6035
9940 1.5108 14.6027
9950 1.52033 14.6026
9960 1.48252 14.6032
9970 1.49393 14.6038
9980 1.50284 14.6051
9990 1.50161 14.6047
10000 1.50689 14.6056
10010 1.49026 14.6054
10020 1.48723 14.6053
10030 1.5137 14.6043
10040 1.48462 14.605
10050 1.49696 14.6059
10060 1.50214 14.6051
10070 1.49832 14.6063
10080 1.49986 14.6064
10090 1.49649 14.6071
10100 1.48123 14.6054
10110 1.49199 14.6061
10120 1.50598 14.6055
10130 1.51682 14.6047
10140 1.50166 14.606
10150 1.4974 14.6057
10160 1.47306 14.6055
10170 1.48543 14.6043
10180 1.46933 14.605
10190 1.50739 14.6068
10200 1.48747 14.6076
10210 1.50629 14.6066
10220 1.48628 14.6069
10230 1.51234 14.6082
10240 1.50437 14.608
10250 1.49256 14.6074
10260 1.48746 14.6078
10270 1.50225 14.6067
10280 1.49247 14.6056
10290 1.49099 14.6058
10300 1.50515 14.6055
10310 1.50531 14.6046
10320 1.51893 14.6039
10330 1.48469 14.6054
10340 1.4865 14.6057
10350 1.50797 14.6051
10360 1.49217 14.604
10370 1.52864 14.6039
10380 1.54292 14.604
10390 1.49669 14.6038
10400 1.51556 14.6064
10410 1.50518 14.6062
10420 1.48936 14.6063
10430 1.50889 14.6065
10440 1.50874 14.6053
10450 1.51555 14.6049
10460 1.50136 14.6046
10470 1.47387 14.6046
10480 1.48862 14.6046
10490 1.48386 14.6049
10500 1.47954 14.6051
10510 1.52593 14.606
10520 1.51408 14.6052
10530 1.47613 14.6039
10540 1.48677 14.6048
10550 1.52609 14.6047
10560 1.50188 14.6032
10570 1.48282 14.6039
10580 1.50314 14.6028
10590 1.49663 14.6025
10600 1.48508 14.6025
10610 1.49151 14.6035
10620 1.50155 14.6052
10630 1.49571 14.6071
10640 1.49896 14.6069
10650 1.4931 14.6057
10660 1.51374 14.6056
10670 1.50573 14.606
10680 1.49646 14.6038
10690 1.50343 14.6022
10700 1.4924 14.6026
10710 1.47942 14.6018
10720 1.49367 14.6023
10730 1.47813 14.6037
10740 1.52256 14.6043
10750 1.5165 14.6038
10760 1.50139 14.6046
10770 1.51675 14.6043
10780 1.49051 14.605
10790 1.51667 14.6049
10800 1.48024 14.6048
10810 1.49081 14.6042
10820 1.497 14.6039
10830 1.50387 14.6029
10840 1.49027 14.6041
10850 1.53822 14.6042
10860 1.48817 14.6035
10870 1.50171 14.6038
10880 1.51222 14.6045
10890 1.51027 14.6045
10900 1.51643 14.6045
10910 1.51018 14.6046
10920 1.515 14.6051
10930 1.4966 14.6035
10940 1.5153 14.6044
10950 1.49528 14.6048
10960 1.47949 14.603
10970 1.49322 14.6041
10980 1.46191 14.6051
10990 1.48584 14.6056
11000 1.4981 14.6054
11010 1.50791 14.6042
11020 1.49939 14.6046
11030 1.50154 14.6056
11040 1.4965 14.6063
11050 1.48488 14.6064
11060 1.51358 14.6051
11070 1.51567 14.6055
11080 1.47909 14.6053
11090 1.51215 14.6048
11100 1.4988 14.6049
11110 1.49619 14.6059
11120 1.48463 14.6065
11130 1.49143 14.6056
11140 1.52101 14.6065
11150 1.51218 14.6062
11160 1.501 14.6059
11170 1.53473 14.6056
11180 1.48983 14.6052
11190 1.50012 14.605
11200 1.49788 14.606
11210 1.51165 14.604
11220 1.50565 14.6044
11230 1.50709 14.6053
11240 1.5036 14.6064
11250 1.48773 14.608
11260 1.50697 14.6081
11270 1.48638 14.6087
11280 1.50232 14.6098
11290 1.49788 14.6099
11300 1.49203 14.6091
11310 1.50996 14.6104
11320 1.49766 14.6112
11330 1.4882 14.612
11340 1.50267 14.6103
11350 1.52006 14.6096
11360 1.50701 14.6096
11370 1.51075 14.611
11380 1.52384 14.6116
11390 1.48588 14.6105
11400 1.52846 14.609
11410 1.47583 14.6084
11420 1.47194 14.6071
11430 1.50558 14.607
11440 1.48508 14.6064
11450 1.49796 14.6066
11460 1.47024 14.6042
11470 1.49113 14.6026
11480 1.494 14.6025
11490 1.48663 14.6025
11500 1.50843 14.6017
11510 1.50728 14.6032
11520 1.5053 14.6043
11530 1.50484 14.604
11540 1.47567 14.6024
11550 1.5126 14.6008
11560 1.50047 14.6007
11570 1.50974 14.6001
11580 1.51452 14.5995
11590 1.50053 14.6011
11600 1.49059 14.6021
11610 1.48501 14.6022
11620 1.4786 14.6015
11630 1.48871 14.6011
11640 1.48594 14.6009
11650 1.50637 14.6016
11660 1.50524 14.602
11670 1.47426 14.6011
11680 1.496 14.6007
11690 1.51616 14.6005
11700 1.50027 14.6007
11710 1.50593 14.6002
11720 1.50789 14.5999
11730 1.4946 14.5995
11740 1.50721 14.5996
11750 1.49061 14.6004
11760 1.50399 14.5998
11770 1.49736 14.5996
11780 1.5163 14.5982
11790 1.49831 14.5987
11800 1.50568 14.5983
11810 1.47563 14.5993
11820 1.49695 14.5992
11830 1.51706 14.5987
11840 1.51374 14.5971
11850 1.49108 14.5961
11860 1.48464 14.5978
11870 1.50445 14.5973
11880 1.49357 14.5987
11890 1.4985 14.5987
11900 1.51014 14.5998
11910 1.49067 14.5998
11920 1.48514 14.5992
11930 1.5091 14.6001
11940 1.51016 14.5997
11950 1.48075 14.6002
11960 1.50214 14.6009
11970 1.49671 14.6003
11980 1.50505 14.5994
11990 1.49606 14.5996
12000 1.50616 14.6
12010 1.51226 14.6006
12020 1.50559 14.6034
12030 1.49376 14.6037
12040 1.52224 14.6046
12050 1.49385 14.6043
12060 1.49071 14.6048
12070 1.48457 14.605
12080 1.49425 14.6044
12090 1.47966 14.6055
12100 1.49664 14.6065
12110 1.48523 14.6051
12120 1.4883 14.6056
12130 1.51021 14.6062
12140 1.52033 14.6068
12150 1.47335 14.607
12160 1.51174 14.6076
12170 1.48441 14.6065
12180 1.48357 14.604
12190 1.48955 14.6042
12200 1.50013 14.6049
12210 1.50732 14.6063
12220 1.4875 14.6056
12230 1.49694 14.6059
12240 1.51561 14.6044
12250 1.49543 14.6048
12260 1.4973 14.6056
12270 1.5246 14.606
12280 1.5349 14.6054
12290 1.47214 14.6038
12300 1.50441 14.6029
12310 1.52468 14.6025
12320 1.50759 14.6024
12330 1.49646 14.6027
12340 1.4943 14.6026
12350 1.49823 14.6032
12360 1.48542 14.6034
12370 1.49583 14.6041
12380 1.49022 14.6048
12390 1.5017 14.6052
12400 1.54009 14.6047
12410 1.49022 14.6051
12420 1.5014 14.6044
12430 1.51123 14.6021
12440 1.52573 14.6016
12450 1.50948 14.6012
12460 1.48936 14.6019
12470 1.53101 14.6003
12480 1.49441 14.6011
12490 1.50237 14.6007
12500 1.50544 14.6001
12510 1.51352 14.6011
12520 1.49882 14.6008
12530 1.50365 14.601
12540 1.508 14.6005
12550 1.49822 14.5993
12560 1.48636 14.6001
12570 1.47539 14.6015
12580 1.47658 14.6017
12590 1.50802 14.6021
12600 1.48487 14.6019
12610 1.48051 14.6027
12620 1.49151 14.6009
12630 1.48306 14.6012
12640 1.49328 14.6018
12650 1.51798 14.6011
12660 1.50983 14.6008
12670 1.50743 14.6009
12680 1.48981 14.6006
12690 1.52565 14.601
12700 1.52244 14.6018
12710 1.50578 14.6018
12720 1.50087 14.6025
12730 1.49823 14.6017
12740 1.48076 14.6003
12750 1.52298 14.5997
12760 1.51496 14.601
12770 1.5127 14.6007
12780 1.49465 14.6003
12790 1.48829 14.6
12800 1.49935 14.5999
12810 1.51042 14.6004
12820 1.48519 14.5994
12830 1.50638 14.5986
12840 1.49852 14.5991
12850 1.49892 14.5991
12860 1.50577 14.5969
12870 1.49224 14.5969
12880 1.50318 14.5969
12890 1.50421 14.5962
12900 1.4864 14.5967
12910 1.49081 14.5969
12920 1.51761 14.5983
12930 1.47796 14.5983
12940 1.5048 14.5981
12950 1.48967 14.598
12960 1.52023 14.5971
12970 1.49903 14.5972
12980 1.49994 14.5978
12990 1.51302 14.5982
13000 1.51403 14.5989
13010 1.50569 14.5992
13020 1.47811 14.5995
13030 1.51203 14.6002
13040 1.52716 14.6011
13050 1.48289 14.6002
13060 1.4753 14.6003
13070 1.46927 14.6013
13080 1.49251 14.6023
13090 1.48063 14.6006
13100 1.52817 14.602
13110 1.51522 14.6031
13120 1.49255 14.604
13130 1.52927 14.6023
13140 1.54481 14.6031
13150 1.50081 14.6042
13160 1.50254 14.6041
13170 1.48683 14.6024
13180 1.50833 14.6029
13190 1.48347 14.6027
13200 1.49604 14.6014
13210 1.52122 14.5997
13220 1.49272 14.6003
13230 1.48946 14.6006
13240 1.50001 14.6011
13250 1.51283 14.6
13260 1.48095 14.5976
13270 1.50526 14.5988
13280 1.49575 14.5985
13290 1.4684 14.5976
13300 1.50705 14.5977
13310 1.46408 14.5981
13320 1.48821 14.5979
13330 1.48489 14.5972
13340 1.49558 14.5972
13350 1.49839 14.5965
13360 1.51073 14.5968
13370 1.48437 14.5978
13380 1.48706 14.5979
13390 1.5159 14.5994
13400 1.49732 14.5998
13410 1.47519 14.6004
13420 1.49798 14.601
13430 1.47986 14.6009
13440 1.49093 14.6022
13450 1.52273 14.6017
13460 1.49327 14.601
13470 1.499 14.6026
13480 1.51142 14.6025
13490 1.49884 14.6039
13500 1.50607 14.6035
13510 1.4954 14.603
13520 1.50762 14.6025
13530 1.50959 14.6024
13540 1.50839 14.6025
13550 1.51126 14.6014
13560 1.49349 14.602
13570 1.50283 14.6024
13580 1.49419 14.6022
13590 1.49548 14.6037
13600 1.49819 14.6031
