# Time-averaged data for fix myfix
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
10000 40
1 0.05 0.818593 0.0169697
2 0.15 0.960594 0.156364
3 0.25 0.850393 0.491313
4 0.35 0.892867 1.17616
5 0.45 0.878981 2.28768
6 0.55 0.934678 4.05091
7 0.65 0.924639 6.48525
8 0.75 0.940379 9.7798
9 0.85 0.971102 14.1483
10 0.95 0.973005 19.6145
11 1.05 0.995772 26.4473
12 1.15 0.996853 34.6513
13 1.25 1.01354 44.5055
14 1.35 1.00776 55.9329
15 1.45 1.00682 69.103
16 1.55 1.0052 84.1273
17 1.65 1.00973 101.229
18 1.75 1.00639 120.402
19 1.85 0.998428 141.658
20 1.95 0.994484 165.181
21 2.05 0.995211 191.197
22 2.15 1.00006 219.952
23 2.25 0.993736 251.244
24 2.35 1.00366 285.72
25 2.45 0.997804 322.973
26 2.55 1.00498 363.619
27 2.65 1.00055 407.322
28 2.75 0.998541 454.291
29 2.85 0.99866 504.743
30 2.95 0.997634 558.741
31 3.05 0.999816 616.589
32 3.15 1.00409 678.556
33 3.25 1.00081 744.303
34 3.35 1.00001 814.103
35 3.45 1.00172 888.259
36 3.55 0.997815 966.469
37 3.65 1.00165 1049.46
38 3.75 1.00212 1137.11
39 3.85 1.00165 1229.45
40 3.95 0.999306 1326.42
