# Time-averaged data for fix myfix2
# TimeStep Number-of-rows
# Row c_myRDF2[1] c_myRDF2[2] c_myRDF2[3]
10000 40
1 0.05 1.66147 0.0363636
2 0.15 1.47159 0.261818
3 0.25 1.00563 0.68
4 0.35 0.960958 1.45818
5 0.45 0.966921 2.74909
6 0.55 0.867251 4.47636
7 0.65 0.893531 6.96
8 0.75 0.884806 10.2327
9 0.85 0.855236 14.2945
10 0.95 0.911049 19.6982
11 1.05 0.944177 26.5382
12 1.15 0.995208 35.1855
13 1.25 0.985546 45.3018
14 1.35 1.02118 57.5273
15 1.45 1.06008 72.1673
16 1.55 1.0144 88.1745
17 1.65 1.02088 106.429
18 1.75 0.985492 126.251
19 1.85 1.00384 148.815
20 1.95 0.984213 173.393
21 2.05 0.980148 200.444
22 2.15 0.985382 230.356
23 2.25 0.992944 263.367
24 2.35 1.0036 299.764
25 2.45 1.01238 339.669
26 2.55 1.00199 382.455
27 2.65 1.00272 428.695
28 2.75 0.996735 478.193
29 2.85 1.00765 531.938
30 2.95 1.00592 589.422
31 3.05 0.993191 650.091
32 3.15 0.995877 714.978
33 3.25 0.99814 784.207
34 3.35 1.00384 858.182
35 3.45 1.00568 936.782
36 3.55 0.993982 1019.04
37 3.65 1.00262 1106.75
38 3.75 1.00645 1199.68
39 3.85 0.994864 1296.51
40 3.95 1.00803 1399.78
