# Time-averaged data for fix myfix
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
10000 40
1 0.05 11.7265 0.0171429
2 0.15 0.558406 0.0228571
3 0.25 1.64583 0.0685714
4 0.35 2.74675 0.217143
5 0.45 1.79422 0.377143
6 0.55 1.07386 0.52
7 0.65 1.60047 0.817143
8 0.75 1.38775 1.16
9 0.85 1.44105 1.61714
10 0.95 1.42795 2.18286
11 1.05 1.22816 2.77714
12 1.15 1.33905 3.55429
13 1.25 1.33351 4.46857
14 1.35 1.30771 5.51429
15 1.45 1.28849 6.70286
16 1.55 1.26861 8.04
17 1.65 1.0717 9.32
18 1.75 0.97402 10.6286
19 1.85 1.09234 12.2686
20 1.95 0.983205 13.9086
21 2.05 0.861743 15.4971
22 2.15 0.887732 17.2971
23 2.25 1.04476 19.6171
24 2.35 0.950671 21.92
25 2.45 0.99186 24.5314
26 2.55 1.02379 27.4514
27 2.65 1.03147 30.6286
28 2.75 1.03363 34.0571
29 2.85 0.880572 37.1943
30 2.95 1.00453 41.0286
31 3.05 0.939746 44.8629
32 3.15 0.946682 48.9829
33 3.25 0.932497 53.3029
34 3.35 0.938029 57.92
35 3.45 0.90305 62.6343
36 3.55 0.980053 68.0514
37 3.65 0.967186 73.7029
38 3.75 0.955206 79.5943
39 3.85 0.966003 85.8743
40 3.95 1.03128 92.9314
