# Time-averaged data for fix myfix3
# TimeStep Number-of-rows
# Row c_myRDF3[1] c_myRDF3[2] c_myRDF3[3]
10000 40
1 0.05 13.1202 0.365414
2 0.15 9.34996 2.18827
3 0.25 5.67376 5.19068
4 0.35 2.72443 7.9982
5 0.45 1.15402 9.9588
6 0.55 0.491984 11.2057
7 0.65 0.236632 12.0427
8 0.75 0.174182 12.8626
9 0.85 0.201987 14.0833
10 0.95 0.329016 16.5666
11 1.05 0.600344 22.1011
12 1.15 1.00758 33.2418
13 1.25 1.43132 51.938
14 1.35 1.66291 77.2719
15 1.45 1.63461 105.999
16 1.55 1.35201 133.148
17 1.65 1.02727 156.523
18 1.75 0.776951 176.41
19 1.85 0.651685 195.05
20 1.95 0.643916 215.512
21 2.05 0.730556 241.17
22 2.15 0.874593 274.955
23 2.25 1.02913 318.494
24 2.35 1.15113 371.618
25 2.45 1.20825 432.224
26 2.55 1.20747 497.835
27 2.65 1.15793 565.786
28 2.75 1.07139 633.491
29 2.85 0.976012 699.737
30 2.95 0.890953 764.527
31 3.05 0.839497 829.783
32 3.15 0.839243 899.368
33 3.25 0.892571 978.146
34 3.35 0.977022 1069.77
35 3.45 1.05392 1174.59
36 3.55 1.10526 1290.98
37 3.65 1.11493 1415.09
38 3.75 1.08886 1543.04
39 3.85 1.04558 1672.54
40 3.95 0.998004 1802.65
