# Time-averaged data for fix ave_time
# TimeStep v_kinetic_energy v_potential_energy
5090 1.52684 11.4175
5100 1.50559 11.4095
5110 1.50717 11.4116
5120 1.49495 11.4111
5130 1.5245 11.4087
5140 1.50701 11.4066
5150 1.4981 11.4038
5160 1.51071 11.4053
5170 1.51556 11.4052
5180 1.50588 11.3988
5190 1.47026 11.3996
5200 1.51548 11.3987
5210 1.50617 11.4011
5220 1.50229 11.402
5230 1.49706 11.3984
5240 1.52087 11.4004
5250 1.47752 11.4006
5260 1.5073 11.4019
5270 1.50846 11.4013
5280 1.51363 11.3982
5290 1.50259 11.3977
5300 1.48029 11.3945
5310 1.52022 11.395
5320 1.48886 11.3982
5330 1.49791 11.3966
5340 1.50519 11.3978
5350 1.51389 11.397
5360 1.49225 11.3972
5370 1.51119 11.3955
5380 1.48674 11.3895
5390 1.50456 11.3845
5400 1.4923 11.3857
5410 1.52053 11.3794
5420 1.50999 11.3828
5430 1.48403 11.3852
5440 1.51186 11.3864
5450 1.51199 11.3854
5460 1.50238 11.3929
5470 1.49883 11.3914
5480 1.50118 11.3909
5490 1.49942 11.3893
5500 1.50814 11.39
5510 1.5014 11.3896
5520 1.52041 11.3866
5530 1.51835 11.3809
5540 1.50696 11.376
5550 1.50865 11.3777
5560 1.51207 11.3759
5570 1.4922 11.3827
5580 1.48815 11.382
5590 1.4835 11.3788
5600 1.49683 11.3821
5610 1.48842 11.3803
5620 1.50028 11.3816
5630 1.50475 11.3835
5640 1.51808 11.3848
5650 1.48793 11.3864
5660 1.51788 11.384
5670 1.46734 11.3885
5680 1.49039 11.394
5690 1.52551 11.4009
5700 1.49155 11.4017
5710 1.50582 11.4046
5720 1.53101 11.3985
5730 1.49144 11.3964
5740 1.49955 11.3947
5750 1.51692 11.3919
5760 1.5082 11.3951
5770 1.4964 11.3936
5780 1.49222 11.3927
5790 1.48026 11.3958
5800 1.46878 11.3978
5810 1.49237 11.399
5820 1.50917 11.3911
5830 1.50844 11.3871
5840 1.50505 11.3908
5850 1.4902 11.3921
5860 1.51712 11.3851
5870 1.48983 11.3855
5880 1.48741 11.3854
5890 1.49697 11.384
5900 1.48813 11.3799
5910 1.50325 11.3836
5920 1.48634 11.3852
5930 1.47542 11.3853
5940 1.49869 11.3876
5950 1.51508 11.3875
5960 1.50512 11.3875
5970 1.51615 11.3873
5980 1.48451 11.388
5990 1.50908 11.3944
6000 1.5121 11.3911
6010 1.4826 11.3879
6020 1.47845 11.3878
6030 1.49865 11.3892
6040 1.51013 11.3902
6050 1.48399 11.3925
6060 1.48196 11.3964
6070 1.51742 11.3976
6080 1.50704 11.4018
6090 1.47023 11.3998
6100 1.50141 11.3996
6110 1.50262 11.401
6120 1.50355 11.3983
6130 1.50158 11.3967
6140 1.50552 11.3951
6150 1.52116 11.392
6160 1.50813 11.3945
6170 1.49062 11.3923
6180 1.49825 11.3967
6190 1.49588 11.3947
6200 1.50698 11.3949
6210 1.4909 11.4021
6220 1.50441 11.4041
6230 1.486 11.4008
6240 1.52213 11.4023
6250 1.49282 11.4038
6260 1.50927 11.4008
6270 1.48899 11.4022
6280 1.49624 11.4077
6290 1.49739 11.4042
6300 1.52312 11.3991
6310 1.49822 11.3956
6320 1.51111 11.3971
6330 1.50543 11.4024
6340 1.48732 11.4037
6350 1.48369 11.4069
6360 1.50015 11.4122
6370 1.48144 11.413
6380 1.51316 11.4148
6390 1.50172 11.4122
6400 1.52422 11.4139
6410 1.48839 11.4088
6420 1.47809 11.4043
6430 1.50705 11.4062
6440 1.48571 11.41
6450 1.51063 11.4045
6460 1.47394 11.4027
6470 1.49013 11.3992
6480 1.50108 11.3935
6490 1.49938 11.3866
6500 1.50496 11.3907
6510 1.49031 11.3916
6520 1.47564 11.3931
6530 1.50724 11.387
6540 1.51351 11.3863
6550 1.50362 11.3896
6560 1.50376 11.3867
6570 1.5028 11.3871
6580 1.50879 11.3882
6590 1.53321 11.3955
6600 1.49151 11.3862
6610 1.49966 11.3813
6620 1.50203 11.3772
6630 1.4935 11.3837
6640 1.49829 11.3804
